stonk,shortRatio,entToRev,profitMargin,enterpriseToEbitda,revenueQuarterlyGrowth,sharesShortPreviousMonthDate,enterpriseValue,sharesShort,fiftyTwoWeekLow,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,labels
IRL,0.04,100.16,-2.8025799,0.0,0,1611878400,55621720,502,4.34,9.605319760152883,9.350407258803068,6.721664789798908,6.460710075211967,6.675997506051655,7.679570371693926,7.980046543199234,8.432157964226704,8.278694681955905,8.095648203287205,8.843088249069812,10.016060977773597,-1
NOK,0.3,0.0,-0.11545999,0.0,0,1611878400,23705835520,41223801,2.34,4.052380970546177,4.214210522802253,3.1713636246594517,3.377142860775902,3.7014999985694885,4.4013636328957295,4.434545430270108,5.056666669391451,4.1966666494097025,4.050000049851158,3.8359999895095824,4.045909133824435,0
PSA,3.24,16.328,0.45306998,23.862,0,1611878400,48910368768,2577026,155.37,209.7820453792439,216.60698341058765,199.17463934413965,191.79720682142693,180.62982233622557,195.12133349891127,189.98831238801515,198.9152666912674,216.26373403945243,230.37981216304695,229.10633606210814,225.59422857200204,-1
BIG,3.49,0.593,0.10149,6.91,0,1611878400,3674789120,4509004,10.13,27.42774257967266,24.96539624917518,15.005495419599413,19.020473337763306,29.748511216542873,36.912700408266474,40.426592534660095,49.51640684389777,47.34162572216936,51.236053451322135,50.098578300235125,47.2064468779376,1
DVD,0.21,1.805,0.19412,12.032,0,1611878400,69582576,26991,1.06,1.791142394674436,1.707356951440266,1.3975956663330564,1.2085974822788177,1.31278694241947,1.5086339212774802,1.4413115384613735,1.4101067748883056,1.4036950901524048,1.3962841910219945,1.8310491993352394,2.0481818209994924,1
DTE,1.55,3.612,0.11234,14.317,0,1611878400,43981017088,1588868,71.21,125.83618123067635,126.69663290967262,96.71839253734517,99.88382516965508,99.35911339719792,106.75516375853886,109.13531647440779,115.0489395886317,115.20672448314495,119.35670737539799,128.62883439543512,122.3937744343276,-1
SEE,1.71,2.128,0.10257,10.708,0,1611878400,10434575360,2186673,17.06,37.60810877851087,34.96005101926837,26.16938051362334,28.204278544175573,29.835955824428652,32.38959020971824,35.41287668359339,40.32518071173956,38.99361105878582,41.504038686354484,43.71585105162655,45.54295801193182,1
ITM,0.0,0.0,0.0,0.0,0,0,0,0,35.77,49.61016086440292,50.15464218707773,48.25908430438426,48.09593374686125,48.83028439043103,50.08601989980057,50.724522722527986,51.21949026516087,50.89510971849942,50.65201175454452,51.116662819868715,51.74540794386155,2
IGM,0.0,0.0,0.0,0.0,0,0,0,0,183.27,252.3798737049931,259.68183930621814,217.77093115680188,230.09555828302018,255.56786697573375,275.159614625067,292.4550280906411,311.56824492553073,311.12603522618616,319.4283146056848,326.75128430103456,345.28203458451804,-1
ONE,2.52,0.0,-0.24034001,0.0,0,1611878400,526212704,996715,2.85,6.729714302789597,5.715263115732293,5.3215909437699755,4.555714300700596,4.632000005245208,4.073590939695185,4.179545478387312,4.414666698092506,4.4890476408458895,4.5090908787467265,4.176500046253205,3.8640909411690454,1
ING,0.3,0.0,0.16547,0.0,0,1611878400,46956818432,1166191,4.52,11.627280724990959,10.880288618294877,6.686620875766713,5.379702521692791,5.622538597095238,7.2266457629490395,7.275535190817485,7.9053291554404606,7.725363555337168,7.38273272527201,8.654347834262648,9.632986043860656,1
MAN,2.57,0.317,0.00132,12.825,0,1611878400,5714915328,1107085,49.57,95.11998756401513,88.7306052718181,66.019440373709,63.23976573113476,69.53759229482311,71.6739004172361,70.17852720926,74.217403639426,71.278357455244,73.15626559753763,83.95448983821036,91.13499936190519,1
IRS,1.62,0.0,0.15694,0.0,0,1611878400,233383952,71282,2.57,6.301904701051258,5.433157920837402,4.41454541683197,3.4542857238224576,3.521499991416931,3.57136362249201,3.9163636619394477,3.754761888867333,3.1638095378875732,3.187272722070867,4.474499940872192,4.764545484022661,1
CAN,0.22,0.0,-1.0786799,0.0,0,1611878400,5422189056,4342863,1.76,6.0477142788115,5.9621052742004395,3.7403182008049707,4.274095183327084,4.837500011920929,2.241590906273235,2.2652272907170383,2.283761915706453,1.9939047552290416,2.017545450817455,3.700250005722046,4.276318170807579,-1
GME,0.27,3.711,-0.053239997,-148.047,0,1611878400,19157270528,14200138,2.57,5.058571406773159,4.099473702280145,4.226363648067821,4.865238121577671,4.901500010490418,4.777272701263428,4.260000012137673,4.9804762204488116,8.948571500324068,12.94272739237005,13.067500019073487,17.36181809685447,1
LUV,1.9,3.859,-0.33973998,-8.754,0,1611878400,34920046592,16803667,22.47,55.21606436556914,55.766951793644026,41.450414457206776,32.873333158947176,28.80349988937378,36.56454571810636,33.63545443794944,35.57190504528227,39.65952355521066,40.14181813326749,45.07600021362305,47.18318176269531,1
FAT,0.13,14.335,-0.48266,-198.079,0,1611878400,241854208,12653,1.72,4.658761864616757,4.523210525512695,3.0460000092333015,3.1550476210457936,3.3227999925613405,3.733272747559981,3.4436363632028755,4.962047633670625,5.458333333333333,5.714454542506825,5.981499981880188,7.080454566261985,1
EGP,4.86,19.292,0.2985,30.625,0,1611878400,7003606016,837463,83.4,131.76545765855948,135.82236230102507,109.37007780856707,105.31021849083602,106.27119843826165,118.91285717929141,121.86457447338806,133.9606307495052,131.61722190453133,139.1993237708474,142.68005453993857,136.36403189997475,-1
AMD,1.88,9.88,0.25504,57.38,0,1611878400,96456245248,79247010,36.75,49.86333374750046,52.46368408203125,46.05909104780717,53.435714358375186,54.60200023651123,54.54136345603249,61.333182074806906,84.8038093930199,81.68380991617839,83.9472725608132,84.40699920654296,94.5404545177113,-1
